value,error,error_size
2.056235432578310096e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.186598097679353714e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.040127800761326782e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.073783810720658138e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.255892926206326621e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.289988481937885467e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.829746757820121061e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.818434829596139934e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.088711880435984369e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.479676888402707213e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.824085209637850369e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.311688055274801101e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.536666548237413821e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.683292893225323894e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.848459458970622649e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.945787654733993222e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.008439932330214717e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.232828169146034014e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.147831151958224183e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.236936473445511808e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.850470952680223746e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.138781966655454170e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.780220056718578547e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.577350134846869167e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.907309292256962863e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.990908892350054415e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.003688400006763715e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.128816900224671826e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.449697360363400378e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.348916602497948602e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000352865370418698e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.898532603492389015e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.969170414401082425e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.156900642439087790e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.828647543456111535e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.035422978279233064e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.760129846856620972e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.880091015220693862e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.302043275836447833e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.981443511785777289e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.797137898083755303e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.277757347084652650e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.742584522520852985e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.089925633062310339e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.223622898392281755e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.180722091733012391e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.975534821704089339e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.683266664357464037e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.939771508231226349e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.540428255536891555e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.883107734202311434e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.371300739491641352e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.969392142792812450e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.283237846775904956e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.715409344965456384e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.684577460960841222e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.087555093466950851e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.080592925448734221e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.006577038371349531e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.996223336771700474e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.004389451268629685e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.986059591506550603e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.165612376251478466e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.038605698621364226e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.026000504920280321e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.066151955068637136e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.292488560219848637e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.052819778402911766e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.567355817602334866e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.050863493489716660e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.085460559443948014e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.174713541788533533e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.166112255795627917e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.916160459458762588e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.173356262869733513e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.121696897210628663e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.616947134885099757e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.126143431125083438e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.934292813699710578e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.858148638455423551e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.009961877367249272e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.236243114156442857e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.109675048886883175e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.951474140698806536e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.684320980113588462e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.058605327548402641e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.821843814462789268e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.131304239448058624e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.686928183879959420e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.200090116112407657e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.014401503834044149e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.786926108064495722e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.871683531092582697e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.629654500173854004e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.779637027911254421e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.191414961015810192e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.057125786332236217e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.949585227913395613e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.887114800741456477e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.831335121863926929e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.141689275515316027e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.736547994786349491e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.048503375005087435e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.884004953292451034e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.207262415179522463e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.704618230469315776e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.865831377007982894e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.173793098184891548e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.569381723513787108e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.646015769067186341e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.643796787723195507e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.781889627460655845e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.089958371543761473e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.556836916799298365e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.742495920162615164e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.904328614472474612e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.759912291957428465e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.727001688217495712e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.864666789263451108e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.678924319649264874e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.696796542317885326e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.518431569918681134e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.879676339520877093e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.682417865316323002e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.052885221028944329e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.630272463847630604e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.000658448483351037e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.908349928490275715e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.051436461185934945e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.128030000113416520e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.815253467260859566e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.573205278001198337e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.078675695788788857e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.509399257211461531e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.913831599610389844e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.116195558373973995e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.691758581336979717e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.025357239928506203e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.035868137801729461e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.157072587749240711e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.019371794576690604e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.012574281340648952e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.975936975700079756e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.874880537502376399e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.985106837076747865e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.200401761375907483e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.034800356861845216e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.967238006783642845e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.683294021202200952e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.237575940380304473e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.019356537888241121e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.929380570356930491e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.034732591994492168e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.005052613920294391e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.815574030754022772e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.087914503182854276e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.871737726081428832e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.862807479315021908e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.709941453066663541e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.077975823114877585e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.007330513784913251e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.825893751510346874e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.094223730096788927e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.696778215764707909e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.873052188812751240e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.768407661068130210e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.079626504227620387e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.594897142779468879e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.009771389634504146e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.045732685820611607e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.860847568587625744e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.061440294644100391e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.824703411581086243e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.256051790300737991e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.934790898329312370e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.026033592690328078e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.305898937906033552e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.126014618836924797e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.205097850504084533e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.885668414853373065e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.796398098942491117e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.939506937649925078e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.994116954336364245e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.817319595830163337e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.089974121202558877e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.217887146594452474e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.167366364269093992e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.621570439247389572e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.028534743542658703e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.203757709896592587e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.963174352989324234e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.042910240647039188e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.037331015560494052e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.937465294194701926e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.200090971071512058e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.878053320832854922e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.185665608548391958e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.775324484817095083e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.245993542972286150e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.025086844191422131e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.021385422188289738e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.832536198502070590e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.645162550908825949e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.473284553190583779e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.943709689892462222e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.107200119641760239e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.968990571497741371e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.887122506845609848e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.875083023446403274e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.113770886395757032e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.692672594550802501e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.159663371774757934e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.973797632426898474e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.009517642041596730e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.920648287833178358e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.110975157059991147e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.837330454043946304e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.144428755093309036e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.147502210289611568e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.302799474738731078e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.080007593130476451e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.952224189125752218e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.027301284501289658e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.499059428515584358e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.302772366819034744e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.445364367867731659e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.230760665365837525e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.402685561608909381e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.451435810318139374e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.405797997695044543e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.124575389620121157e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.131517838937112330e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.041442447642977243e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.512962762261971505e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.003498035186625970e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.459898190770096349e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.051184896012405190e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.007429721098867503e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.682379617186217047e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.034240604768985605e+01,0.000000000000000000e+00,0.000000000000000000e+00
