value,error,error_size
2.063236191460732627e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.069580017177499798e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.030803617095562430e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.803031860972498635e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.146234925365594037e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.164791495932423970e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.891305486384128542e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.108992030419904751e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.634634733682532470e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.898347637634603302e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.270427669747555299e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.060445706188698978e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874991769622533866e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.875137680349421032e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.202133716187107382e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.033868148521523622e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.900207031778197120e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.168590021691828795e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.260838084667518189e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.987907672646398538e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.774438909638225326e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.995178168779646555e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.008173707103027184e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.976067364389146519e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.202000535642514478e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.931374290842232355e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.020235138025426025e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.785822521454621281e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.822721180379867434e+01,0.000000000000000000e+00,0.000000000000000000e+00
