value,error,error_size
1.810236909352881440e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.814420979280254187e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.444243972864754610e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.857522692608333159e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.055599719707981876e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.123806829802019536e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.053403795195205461e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.855890931424177737e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.796858025560317884e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.911374268191675796e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.166540283772213016e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.255294161417054966e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.940804332570386848e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.993102079474348187e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.833510486760515690e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.996843431665705992e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.829756576262555967e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.163187324031898839e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.903092629902387500e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.884967590830685324e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.910303877753791468e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.343594546602768247e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.327011505710202854e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.570195354850501346e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.138994218199437825e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.218359511742988488e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.768691818348500533e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.064329967327986992e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.330202628967370515e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.071544702133768823e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.281510505625012897e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.129512854004666167e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.096514792303952390e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.807841605913535332e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.091857381733664667e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.580166054506493722e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.931936782323237622e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.183716431910516320e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.969938134101697003e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.078832203420268954e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.899480173768897373e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.776238979273146867e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.081264820196154730e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.837259132951344398e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.673988997558635816e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.403579939292749756e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.026460657137151244e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001267038865086434e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.227666670572923735e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.510385165443394939e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.312878568438477700e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.693302280854375041e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.215692697113405529e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.179631439982580687e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.865636655561285906e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.816091957158899461e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.308692169550365136e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.644625363917995742e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.300751969890310633e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.859832961420208619e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.296388641175166256e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.838463052691594157e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.065900065480539638e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.036952612184582989e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.841014743701411405e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.890502999838668785e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.179994130479721193e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.816796938234647740e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.824963451600787678e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.865077062569576327e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.052208658616426362e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.876619213460946156e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.683538860906828560e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.010080826955551458e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.053513985036100209e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.248479039618987940e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.370217334772778628e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.798631559752976372e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001582410688116909e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.428564191292937302e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.815080582389323993e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.873003029422627819e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.972172051134487347e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.491955252609531435e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.908349694730354784e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.222966622241046153e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.952400926277467264e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.859468025056249019e+01,0.000000000000000000e+00,0.000000000000000000e+00
