value,error,error_size
1.908065184993744978e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.061854384468982815e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.277095949201945402e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.126341159062319974e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.066099228895734896e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.236096606906169981e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.044619621235787221e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.888735347738730397e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.778854783580300492e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.140744713932046395e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.749013381277094936e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.962406842214066671e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.768271512494929709e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.821885962716388008e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.817133660257445626e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.653063320446620565e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.176303268995969376e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.194080696152570198e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.011502994881205808e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.029213079579329104e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.378629823534874532e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.849758261085570510e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.856306978077842373e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.386882240626637497e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.111473796186372454e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.883931840288530424e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.956807868308624165e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.589736825291083377e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.034571519870512546e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.925492311418076952e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.752588677917352555e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.278573066243607315e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.912892004970546722e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.113332290883882791e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.901870580466608018e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.821153899882391514e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.293709451318524017e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.943698008103089236e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.720962075192370122e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.198711966651459448e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.821536505152908347e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.792749982746879667e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.503173483767699992e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.006410884625192992e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.158086351190882013e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.160638722052751248e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.919043016392288337e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.087555487504670992e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.502048130225275102e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.991761408099256414e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.040309082545498853e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.208603594848862883e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.628847019010396480e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.049415079044316812e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.989181897895338125e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.126214508058505714e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.793181108091953746e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.566291524453812301e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.143114623176450451e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.998906316375821390e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.051607483414611011e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.026740301523831889e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.367631513191468073e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.619103673858086268e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.721564972028843954e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.990893693193707037e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.086641223906411824e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.238810853492613617e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.063382796281228693e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.679445915343582740e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.089650751427847553e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.335263562119340008e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.036312339636672775e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.990831581262436600e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.134271761359564579e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.097647611462645045e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100880471315249309e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.717254868080727093e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.718915470298370352e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.074841078029819741e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.863979424233016857e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.589172160467167316e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.006984221854063932e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.153235966384472277e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.094166173675420950e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.685889002732929853e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.028629576492969377e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.039669264350406408e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.601903841443080623e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.370983297370696263e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.856179732539220595e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.203901999914835486e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.965153776427609600e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.896880995321143359e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.817279038112990008e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.245211074366840620e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.020249538266487832e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.943690778761406079e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.131423413107120624e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.970174828266621248e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.925552348998595065e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.068886980296261768e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.394229684125373936e+01,0.000000000000000000e+00,0.000000000000000000e+00
