value,error
2.134780549599360810e+01,0.000000000000000000e+00
1.801820373263285191e+01,0.000000000000000000e+00
1.873025237745423510e+01,0.000000000000000000e+00
1.930559203637154297e+01,0.000000000000000000e+00
2.187857708676496316e+01,0.000000000000000000e+00
2.362432502385572164e+01,0.000000000000000000e+00
1.919203908130396385e+01,0.000000000000000000e+00
1.857290760553050291e+01,0.000000000000000000e+00
2.060235374443486478e+01,0.000000000000000000e+00
1.876617959337093566e+01,0.000000000000000000e+00
2.152402229613680262e+01,0.000000000000000000e+00
2.435240380852615161e+01,0.000000000000000000e+00
2.061078540066695908e+01,0.000000000000000000e+00
1.911787734206398426e+01,0.000000000000000000e+00
2.055682655321275476e+01,0.000000000000000000e+00
2.070607183777670457e+01,0.000000000000000000e+00
2.078891700521915453e+01,0.000000000000000000e+00
1.904784485150802809e+01,0.000000000000000000e+00
1.771136850619078373e+01,0.000000000000000000e+00
2.184765645879893725e+01,0.000000000000000000e+00
2.068552563430967339e+01,0.000000000000000000e+00
2.191643955147889500e+01,0.000000000000000000e+00
1.894284790089354331e+01,0.000000000000000000e+00
1.954754235368016424e+01,0.000000000000000000e+00
1.825501402575120835e+01,0.000000000000000000e+00
1.892539482236604442e+01,0.000000000000000000e+00
2.068398002144891379e+01,0.000000000000000000e+00
1.582394215360776002e+01,0.000000000000000000e+00
2.116567471691508473e+01,0.000000000000000000e+00
2.027950683369795470e+01,0.000000000000000000e+00
2.193016589202756350e+01,0.000000000000000000e+00
1.677441394194259416e+01,0.000000000000000000e+00
1.610431889407254147e+01,0.000000000000000000e+00
1.901542522627395115e+01,0.000000000000000000e+00
2.106443375140951701e+01,0.000000000000000000e+00
2.396101769680164040e+01,0.000000000000000000e+00
1.845378909888684404e+01,0.000000000000000000e+00
1.949235233295622294e+01,0.000000000000000000e+00
2.092729963765699353e+01,0.000000000000000000e+00
2.264230947058928578e+01,0.000000000000000000e+00
2.133881126644518389e+01,0.000000000000000000e+00
2.150320985622346370e+01,0.000000000000000000e+00
2.256388534025969150e+01,0.000000000000000000e+00
1.980428599152236302e+01,0.000000000000000000e+00
1.782758711552686037e+01,0.000000000000000000e+00
2.246662482936188354e+01,0.000000000000000000e+00
2.267734494449974747e+01,0.000000000000000000e+00
1.737124654497378273e+01,0.000000000000000000e+00
2.163673440717482777e+01,0.000000000000000000e+00
2.000612220677996689e+01,0.000000000000000000e+00
1.943194455781036112e+01,0.000000000000000000e+00
2.269122177129021622e+01,0.000000000000000000e+00
2.221028701463313482e+01,0.000000000000000000e+00
2.169311589193169354e+01,0.000000000000000000e+00
2.178761935764051572e+01,0.000000000000000000e+00
2.338611715747509123e+01,0.000000000000000000e+00
2.034089891640485348e+01,0.000000000000000000e+00
1.955615549764725003e+01,0.000000000000000000e+00
1.762724626550373230e+01,0.000000000000000000e+00
2.122146156223602631e+01,0.000000000000000000e+00
1.807047197068718702e+01,0.000000000000000000e+00
1.871779228599069000e+01,0.000000000000000000e+00
1.937209357463310155e+01,0.000000000000000000e+00
1.941034667991267071e+01,0.000000000000000000e+00
2.153593524610350585e+01,0.000000000000000000e+00
1.617934115024008790e+01,0.000000000000000000e+00
1.990897725286929898e+01,0.000000000000000000e+00
1.926998573004181026e+01,0.000000000000000000e+00
1.860748700862722771e+01,0.000000000000000000e+00
1.796741527762209856e+01,0.000000000000000000e+00
2.175894331436926521e+01,0.000000000000000000e+00
1.351086288435572769e+01,0.000000000000000000e+00
1.759375351084992545e+01,0.000000000000000000e+00
1.987920656901498262e+01,0.000000000000000000e+00
1.712424825171591891e+01,0.000000000000000000e+00
1.903040267576896127e+01,0.000000000000000000e+00
1.912900511333415565e+01,0.000000000000000000e+00
1.713863122919304516e+01,0.000000000000000000e+00
1.652416842478350745e+01,0.000000000000000000e+00
1.801890301989584486e+01,0.000000000000000000e+00
1.851023171941602286e+01,0.000000000000000000e+00
2.299982136675408384e+01,0.000000000000000000e+00
1.841685339778262076e+01,0.000000000000000000e+00
2.396927879060643107e+01,0.000000000000000000e+00
1.967474393057011994e+01,0.000000000000000000e+00
1.782104793621623884e+01,0.000000000000000000e+00
1.795056806468242883e+01,0.000000000000000000e+00
2.130816557945875189e+01,0.000000000000000000e+00
2.515324073315218811e+01,0.000000000000000000e+00
2.044719955949033974e+01,0.000000000000000000e+00
1.895098330571622469e+01,0.000000000000000000e+00
1.887479711961093543e+01,0.000000000000000000e+00
2.182321841739661394e+01,0.000000000000000000e+00
1.906253400588558122e+01,0.000000000000000000e+00
2.031848046907331451e+01,0.000000000000000000e+00
2.070460277361507551e+01,0.000000000000000000e+00
2.226902336356128842e+01,0.000000000000000000e+00
1.964712689901731935e+01,0.000000000000000000e+00
1.992224034674940825e+01,0.000000000000000000e+00
2.143165971392176417e+01,0.000000000000000000e+00
2.057233250060104268e+01,0.000000000000000000e+00
1.975462800469517433e+01,0.000000000000000000e+00
2.016010068984279258e+01,0.000000000000000000e+00
1.808410546981005851e+01,0.000000000000000000e+00
2.061098817951248918e+01,0.000000000000000000e+00
1.912956742767259755e+01,0.000000000000000000e+00
1.891954295257387386e+01,0.000000000000000000e+00
1.985203359505063503e+01,0.000000000000000000e+00
6.577529531831450527e+01,0.000000000000000000e+00
6.953720116937621754e+01,0.000000000000000000e+00
6.731357680214863137e+01,0.000000000000000000e+00
6.518680772609634744e+01,0.000000000000000000e+00
6.676128562511928521e+01,0.000000000000000000e+00
7.022933285709265760e+01,0.000000000000000000e+00
6.497943950219398346e+01,0.000000000000000000e+00
6.732941724278538231e+01,0.000000000000000000e+00
6.622575934823694865e+01,0.000000000000000000e+00
6.896605596364786095e+01,0.000000000000000000e+00
7.056973817436953311e+01,0.000000000000000000e+00
6.683609325913069199e+01,0.000000000000000000e+00
7.903868911226766159e+01,0.000000000000000000e+00
7.463758758483905353e+01,0.000000000000000000e+00
7.820224744356434599e+01,0.000000000000000000e+00
7.971954568139547348e+01,0.000000000000000000e+00
7.330681344102184482e+01,0.000000000000000000e+00
7.868194897965474865e+01,0.000000000000000000e+00
7.898612008312920807e+01,0.000000000000000000e+00
7.769502470197033972e+01,0.000000000000000000e+00
7.925827065125636750e+01,0.000000000000000000e+00
7.456162079150570321e+01,0.000000000000000000e+00
7.836561297185193098e+01,0.000000000000000000e+00
7.885733460360215474e+01,0.000000000000000000e+00
8.182843428728240553e+01,0.000000000000000000e+00
8.209957182823355026e+01,0.000000000000000000e+00
7.868035534385815311e+01,0.000000000000000000e+00
8.328072734892374740e+01,0.000000000000000000e+00
8.111530366625733279e+01,0.000000000000000000e+00
7.747979790229993569e+01,0.000000000000000000e+00
8.172009885794349771e+01,0.000000000000000000e+00
8.448377862642507807e+01,0.000000000000000000e+00
7.648663197136561109e+01,0.000000000000000000e+00
7.852299329495637892e+01,0.000000000000000000e+00
7.559494522044620624e+01,0.000000000000000000e+00
8.019989957364694533e+01,0.000000000000000000e+00
8.168603950777320222e+01,0.000000000000000000e+00
7.878858917493599279e+01,0.000000000000000000e+00
8.027825766497268489e+01,0.000000000000000000e+00
7.771156603995457601e+01,0.000000000000000000e+00
8.148750421293735258e+01,0.000000000000000000e+00
8.300532061777782644e+01,0.000000000000000000e+00
7.801660594568207330e+01,0.000000000000000000e+00
7.891964558188969647e+01,0.000000000000000000e+00
8.161475186407089666e+01,0.000000000000000000e+00
8.061519192095015285e+01,0.000000000000000000e+00
8.121235297927216834e+01,0.000000000000000000e+00
8.072669967664587887e+01,0.000000000000000000e+00
7.987642633174040441e+01,0.000000000000000000e+00
7.752847676001331934e+01,0.000000000000000000e+00
8.318040815871277971e+01,0.000000000000000000e+00
8.019305998632140131e+01,0.000000000000000000e+00
7.640926340364953262e+01,0.000000000000000000e+00
7.877054135444929273e+01,0.000000000000000000e+00
8.085767918955102118e+01,0.000000000000000000e+00
8.183641013515322982e+01,0.000000000000000000e+00
7.974628543633616573e+01,0.000000000000000000e+00
8.223545164084832493e+01,0.000000000000000000e+00
8.369267158370240622e+01,0.000000000000000000e+00
8.134534451552296730e+01,0.000000000000000000e+00
7.791420043667915252e+01,0.000000000000000000e+00
7.890500142338875378e+01,0.000000000000000000e+00
8.057336258139437746e+01,0.000000000000000000e+00
8.158185643482501348e+01,0.000000000000000000e+00
8.061935546220777837e+01,0.000000000000000000e+00
8.100509196795628952e+01,0.000000000000000000e+00
8.238599126630730041e+01,0.000000000000000000e+00
7.613271190681513190e+01,0.000000000000000000e+00
7.998810153392192035e+01,0.000000000000000000e+00
8.138823120309686487e+01,0.000000000000000000e+00
7.662007261886330411e+01,0.000000000000000000e+00
8.384768305055145277e+01,0.000000000000000000e+00
7.823406567341447726e+01,0.000000000000000000e+00
7.821310785974016255e+01,0.000000000000000000e+00
7.636440910632751411e+01,0.000000000000000000e+00
7.968085819756794308e+01,0.000000000000000000e+00
7.821064085973731039e+01,0.000000000000000000e+00
7.840035440759321261e+01,0.000000000000000000e+00
7.954449968043471131e+01,0.000000000000000000e+00
8.199120641641871998e+01,0.000000000000000000e+00
8.184766973517220379e+01,0.000000000000000000e+00
8.047140016603989920e+01,0.000000000000000000e+00
8.209003325824234309e+01,0.000000000000000000e+00
8.048985960016594277e+01,0.000000000000000000e+00
7.865104989188186835e+01,0.000000000000000000e+00
8.258437049014662534e+01,0.000000000000000000e+00
7.998868381625231905e+01,0.000000000000000000e+00
8.187708104835316192e+01,0.000000000000000000e+00
7.742345958902103575e+01,0.000000000000000000e+00
8.009858273431790110e+01,0.000000000000000000e+00
8.089979058294969150e+01,0.000000000000000000e+00
7.978534793607263964e+01,0.000000000000000000e+00
8.160100516560936512e+01,0.000000000000000000e+00
8.066861779197989790e+01,0.000000000000000000e+00
7.932693549701176039e+01,0.000000000000000000e+00
7.796948354182435992e+01,0.000000000000000000e+00
8.037405159507621022e+01,0.000000000000000000e+00
8.175584707586945399e+01,0.000000000000000000e+00
8.121670920197129817e+01,0.000000000000000000e+00
8.222786141600489884e+01,0.000000000000000000e+00
7.835927445890095555e+01,0.000000000000000000e+00
7.868993221243175640e+01,0.000000000000000000e+00
8.080743494169973928e+01,0.000000000000000000e+00
7.734486541727568465e+01,0.000000000000000000e+00
8.244754464393989224e+01,0.000000000000000000e+00
7.997700101312487675e+01,0.000000000000000000e+00
8.091631019465084762e+01,0.000000000000000000e+00
7.922060025621499335e+01,0.000000000000000000e+00
3.049458753353825458e+01,0.000000000000000000e+00
3.170851989445890950e+01,0.000000000000000000e+00
2.969622609275498704e+01,0.000000000000000000e+00
