value,error,error_size
4.981377441279353491e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.732409413130731224e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.157946061356776113e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.816099848996392296e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.620402143096210779e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.529669874230473425e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.548291733015341265e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.392652567317896484e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.629869108970594738e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.951461814964632424e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.423645728216472151e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.820966318421471897e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.614410545949204590e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.906898065858888458e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.731617865291465819e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.867453659814311351e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.266645014641444789e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.995802435400125319e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.455328861719814881e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.360100422315286295e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.576471241210346363e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.452701482333257843e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.518548379295764050e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.539038940268751787e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.304436200950334523e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.359551678230454286e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.905256692319635192e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.588362633963919279e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.454384219497494257e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.796772806604612072e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.774533915326411204e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.031166482849000943e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.033263328727313990e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.921210888296819519e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.105602732854909220e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.111693639147513579e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.150808703324113935e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.382299139243789909e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.339990285660428526e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.118702688467709550e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.684131326819169772e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.577186553867265673e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.846196450897753039e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.388343647169979533e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.594545879712762826e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.615290783800472241e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.782351467527001887e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.473073925029048326e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.676423027455847148e+01,0.000000000000000000e+00,0.000000000000000000e+00
